rota_nome,padrao,tipo,cobertura_navegador,evidencias,testes_que_referenciam_rota,limite
hub:password-reset,/recuperar-senha/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-public-4-dark-1440.png; .playwright-mcp/ui-review/final-public-4-dark-390.png; .playwright-mcp/ui-review/final-public-4-light-1440.png; .playwright-mcp/ui-review/final-public-4-light-390.png,tests/test_cica_password_reset.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:password-reset-done,/recuperar-senha/enviado/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-public-5-dark-1440.png; .playwright-mcp/ui-review/final-public-5-dark-390.png; .playwright-mcp/ui-review/final-public-5-light-1440.png; .playwright-mcp/ui-review/final-public-5-light-390.png,,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:password-reset-confirm,/recuperar-senha/<uidb64>/<token>/,Tela/estado,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/final-public-7-dark-1440.png; .playwright-mcp/ui-review/final-public-7-dark-390.png; .playwright-mcp/ui-review/final-public-7-light-1440.png; .playwright-mcp/ui-review/final-public-7-light-390.png; .playwright-mcp/ui-review/access-regression.json,tests/test_cica_password_reset.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:password-reset-complete,/recuperar-senha/concluida/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-public-6-dark-1440.png; .playwright-mcp/ui-review/final-public-6-dark-390.png; .playwright-mcp/ui-review/final-public-6-light-1440.png; .playwright-mcp/ui-review/final-public-6-light-390.png,tests/test_cica_password_reset.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:dashboard,/app/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-0-dark-1440.png; .playwright-mcp/ui-review/final-workspace-0-dark-390.png; .playwright-mcp/ui-review/final-workspace-0-light-1440.png; .playwright-mcp/ui-review/final-workspace-0-light-390.png,tests/test_company_registry_django.py; tests/test_hub_workspace_views_django.py; tests/test_intelligence_views_django.py; tests/test_invitation_takeover.py; tests/test_mfa.py; tests/test_platform_tenant_django.py; tests/test_regaro_auth_flow.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:team,/app/equipe/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-15-dark-1440.png; .playwright-mcp/ui-review/final-workspace-15-dark-390.png; .playwright-mcp/ui-review/final-workspace-15-light-1440.png; .playwright-mcp/ui-review/final-workspace-15-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:collaborator-invitation-resend,/app/equipe/convites/<uuid:invitation_id>/reenviar/,Ação/download/API,Pendente de inspeção específica,,tests/test_hub_workspace_views_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:collaborator-invitation-revoke,/app/equipe/convites/<uuid:invitation_id>/revogar/,Ação/download/API,Pendente de inspeção específica,,tests/test_hub_workspace_views_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:collaborator-access,/app/equipe/<uuid:membership_id>/acessos/,Ação/download/API,Pendente de inspeção específica,,,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:collaborator-deactivate,/app/equipe/<uuid:membership_id>/remover/,Ação/download/API,Pendente de inspeção específica,,,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:nfse-center,/app/nfse/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-4-dark-1440.png; .playwright-mcp/ui-review/final-workspace-4-dark-390.png; .playwright-mcp/ui-review/final-workspace-4-light-1440.png; .playwright-mcp/ui-review/final-workspace-4-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:guides,/app/guias/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-5-dark-1440.png; .playwright-mcp/ui-review/final-workspace-5-dark-390.png; .playwright-mcp/ui-review/final-workspace-5-light-1440.png; .playwright-mcp/ui-review/final-workspace-5-light-390.png,tests/test_dctfweb_documents.py; tests/test_fiscal_guides.py; tests/test_hub_workspace_views_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:dctfweb-consult,/app/guias/dctfweb/consultar/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/detail5-dark-1440.png; .playwright-mcp/ui-review/detail5-dark-390.png; .playwright-mcp/ui-review/detail5-light-1440.png; .playwright-mcp/ui-review/detail5-light-390.png,tests/test_dctfweb_documents.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:dctfweb-bulk-consult,/app/guias/dctfweb/consultar-em-lote/,Tela/estado,Pendente de inspeção específica,,tests/test_dctfweb_documents.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:dctfweb-document-pdf,/app/guias/dctfweb/documentos/<uuid:document_id>.pdf,Ação/download/API,Pendente de inspeção específica,,tests/test_dctfweb_documents.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:guide-detail,/app/guias/<uuid:guide_id>/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/detail2-dark-1440.png; .playwright-mcp/ui-review/detail2-dark-390.png; .playwright-mcp/ui-review/detail2-light-1440.png; .playwright-mcp/ui-review/detail2-light-390.png,tests/test_dctfweb_documents.py; tests/test_fiscal_guides.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:guide-pdf,/app/guias/<uuid:guide_id>/documento.pdf,Ação/download/API,Pendente de inspeção específica,,tests/test_fiscal_guides.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:demo-guide-pdf,/app/guias/<uuid:guide_id>/exemplo.pdf,Ação/download/API,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/local-regression.json,tests/test_fiscal_guides.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:issue-guide,/app/guias/<uuid:guide_id>/emitir/,Ação/download/API,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/local-regression.json,tests/test_fiscal_guides.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:integra,/app/integra-contador/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-6-dark-1440.png; .playwright-mcp/ui-review/final-workspace-6-dark-390.png; .playwright-mcp/ui-review/final-workspace-6-light-1440.png; .playwright-mcp/ui-review/final-workspace-6-light-390.png,tests/test_hub_workspace_views_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:parcelamentos,/app/integra-contador/parcelamentos/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-8-dark-1440.png; .playwright-mcp/ui-review/final-workspace-8-dark-390.png; .playwright-mcp/ui-review/final-workspace-8-light-1440.png; .playwright-mcp/ui-review/final-workspace-8-light-390.png,tests/test_dte.py; tests/test_parcelamento_operations.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:parcelamento-das-pdf,/app/integra-contador/parcelamentos/das/<uuid:operation_id>.pdf,Ação/download/API,Pendente de inspeção específica,,,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:dte-center,/app/integra-contador/dte/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-7-dark-1440.png; .playwright-mcp/ui-review/final-workspace-7-dark-390.png; .playwright-mcp/ui-review/final-workspace-7-light-1440.png; .playwright-mcp/ui-review/final-workspace-7-light-390.png,tests/test_dte.py; tests/test_hub_workspace_views_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:dte-next-page,/app/integra-contador/dte/consultas/<uuid:item_id>/proxima-pagina/,Ação/download/API,Pendente de inspeção específica,,tests/test_dte.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:dte-message-detail,/app/integra-contador/dte/mensagens/<uuid:message_id>/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/detail4-dark-1440.png; .playwright-mcp/ui-review/detail4-dark-390.png; .playwright-mcp/ui-review/detail4-light-1440.png; .playwright-mcp/ui-review/detail4-light-390.png,tests/test_dte.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:decide-dte-run,/app/integra-contador/dte/<uuid:run_id>/decidir/,Ação/download/API,Pendente de inspeção específica,,tests/test_dte.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:reconciliation,/app/conciliacao/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-9-dark-1440.png; .playwright-mcp/ui-review/final-workspace-9-dark-390.png; .playwright-mcp/ui-review/final-workspace-9-light-1440.png; .playwright-mcp/ui-review/final-workspace-9-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:confirm-reconciliation,/app/conciliacao/<uuid:match_id>/confirmar/,Ação/download/API,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/local-regression.json,tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:reform,/app/radar-reforma/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-10-dark-1440.png; .playwright-mcp/ui-review/final-workspace-10-dark-390.png; .playwright-mcp/ui-review/final-workspace-10-light-1440.png; .playwright-mcp/ui-review/final-workspace-10-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:triage,/app/triagem/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-11-dark-1440.png; .playwright-mcp/ui-review/final-workspace-11-dark-390.png; .playwright-mcp/ui-review/final-workspace-11-light-1440.png; .playwright-mcp/ui-review/final-workspace-11-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_seed_demo_django.py; tests/test_triage_imap_django.py; tests/test_triage_oauth_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:triage-connections,/app/triagem/caixas/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-12-dark-1440.png; .playwright-mcp/ui-review/final-workspace-12-dark-390.png; .playwright-mcp/ui-review/final-workspace-12-light-1440.png; .playwright-mcp/ui-review/final-workspace-12-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_triage_imap_django.py; tests/test_triage_oauth_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:triage-imap-connect,/app/triagem/conectar-imap/,Ação/download/API,Pendente de inspeção específica,,tests/test_triage_imap_django.py; tests/test_triage_oauth_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:triage-destination-configure,/app/triagem/destino/,Ação/download/API,Pendente de inspeção específica,,tests/test_triage_oauth_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:triage-oauth-app-save,/app/triagem/aplicativo/<str:provider>/,Ação/download/API,Pendente de inspeção específica,,tests/test_triage_oauth_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:triage-oauth-start,/app/triagem/conectar/<slug:provider>/,Ação/download/API,Pendente de inspeção específica,,tests/test_triage_oauth_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:triage-oauth-callback,/app/triagem/oauth/<slug:provider>/retorno/,Ação/download/API,Pendente de inspeção específica,,tests/test_triage_oauth_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:triage-mailbox-configure,/app/triagem/caixas/<uuid:mailbox_id>/configurar/,Ação/download/API,Pendente de inspeção específica,,tests/test_triage_oauth_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:triage-mailbox-disconnect,/app/triagem/caixas/<uuid:mailbox_id>/desconectar/,Ação/download/API,Pendente de inspeção específica,,tests/test_triage_oauth_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:triage-item,/app/triagem/<uuid:item_id>/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/detail3-dark-1440.png; .playwright-mcp/ui-review/detail3-dark-390.png; .playwright-mcp/ui-review/detail3-light-1440.png; .playwright-mcp/ui-review/detail3-light-390.png; .playwright-mcp/ui-review/final-workspace-12-dark-1440.png; .playwright-mcp/ui-review/final-workspace-12-dark-390.png; .playwright-mcp/ui-review/final-workspace-12-light-1440.png; .playwright-mcp/ui-review/final-workspace-12-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:triage-download,/app/triagem/<uuid:item_id>/arquivo/,Ação/download/API,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/local-regression.json,tests/test_hub_workspace_views_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:switch-office,/app/trocar-escritorio/,Ação/download/API,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/extended-regression.json,tests/test_hub_workspace_views_django.py; tests/test_open_redirect.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:set-theme,/app/aparencia/,Ação/download/API,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/local-regression.json,tests/test_hub_workspace_views_django.py; tests/test_ui_review.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:companies,/app/empresas/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-1-dark-1440.png; .playwright-mcp/ui-review/final-workspace-1-dark-390.png; .playwright-mcp/ui-review/final-workspace-1-light-1440.png; .playwright-mcp/ui-review/final-workspace-1-light-390.png,tests/test_company_registry_django.py; tests/test_hub_workspace_views_django.py; tests/test_platform_tenant_django.py; tests/test_regaro_auth_flow.py; tests/test_seed_demo_django.py; tests/test_ui_review.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:company-detail,/app/empresas/<uuid:company_id>/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/detail0-dark-1440.png; .playwright-mcp/ui-review/detail0-dark-390.png; .playwright-mcp/ui-review/detail0-light-1440.png; .playwright-mcp/ui-review/detail0-light-390.png,tests/test_company_registry_django.py; tests/test_hub_workspace_views_django.py; tests/test_ui_review.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:certificates,/app/certificados/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-3-dark-1440.png; .playwright-mcp/ui-review/final-workspace-3-dark-390.png; .playwright-mcp/ui-review/final-workspace-3-light-1440.png; .playwright-mcp/ui-review/final-workspace-3-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_platform_tenant_django.py; tests/test_ui_review.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:reviews,/app/revisoes/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-2-dark-1440.png; .playwright-mcp/ui-review/final-workspace-2-dark-390.png; .playwright-mcp/ui-review/final-workspace-2-light-1440.png; .playwright-mcp/ui-review/final-workspace-2-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_seed_demo_django.py; tests/test_ui_review.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:review-detail,/app/revisoes/<uuid:case_id>/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/detail1-dark-1440.png; .playwright-mcp/ui-review/detail1-dark-390.png; .playwright-mcp/ui-review/detail1-light-1440.png; .playwright-mcp/ui-review/detail1-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:review-original-xml,/app/revisoes/<uuid:case_id>/original.xml,Ação/download/API,Pendente de inspeção específica,,tests/test_hub_workspace_views_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:resolve-review,/app/revisoes/<uuid:case_id>/resolver/,Ação/download/API,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/local-regression.json,tests/test_hub_workspace_views_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:settings,/app/configuracoes/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-14-dark-1440.png; .playwright-mcp/ui-review/final-workspace-14-dark-390.png; .playwright-mcp/ui-review/final-workspace-14-light-1440.png; .playwright-mcp/ui-review/final-workspace-14-light-390.png,tests/test_company_registry_django.py; tests/test_hub_workspace_views_django.py; tests/test_platform_tenant_django.py; tests/test_regaro_landing_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:setup,/app/configuracao/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-13-dark-1440.png; .playwright-mcp/ui-review/final-workspace-13-dark-390.png; .playwright-mcp/ui-review/final-workspace-13-light-1440.png; .playwright-mcp/ui-review/final-workspace-13-light-390.png,,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:dominio-agent-enrollment,/app/configuracoes/dominio/parear/,Ação/download/API,Pendente de inspeção específica,,,Referência em teste não equivale a inspeção visual nem homologação externa.
accounts:mfa-setup,/mfa/configurar/,Tela/estado,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/extended-regression.json,tests/test_mfa.py; tests/test_regaro_auth_flow.py,Referência em teste não equivale a inspeção visual nem homologação externa.
accounts:mfa-verify,/mfa/entrar/,Tela/estado,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/extended-regression.json,tests/test_mfa.py; tests/test_regaro_auth_flow.py,Referência em teste não equivale a inspeção visual nem homologação externa.
accounts:mfa-qr,/mfa/qr.svg,Ação/download/API,Pendente de inspeção específica,,tests/test_regaro_auth_flow.py,Referência em teste não equivale a inspeção visual nem homologação externa.
accounts:mfa-recovery-codes,/mfa/codigos/,Tela/estado,Pendente de inspeção específica,,,Referência em teste não equivale a inspeção visual nem homologação externa.
platform:configuration,/platform/configuracoes/,Tela/estado,Pendente de inspeção específica,,tests/test_regaro_auth_flow.py,Referência em teste não equivale a inspeção visual nem homologação externa.
platform:dashboard,/platform/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-platform-0-dark-1440.png; .playwright-mcp/ui-review/final-platform-0-dark-390.png; .playwright-mcp/ui-review/final-platform-0-light-1440.png; .playwright-mcp/ui-review/final-platform-0-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_mfa.py; tests/test_platform_isolation.py; tests/test_platform_tenant_django.py; tests/test_regaro_auth_flow.py,Referência em teste não equivale a inspeção visual nem homologação externa.
platform:tenants,/platform/tenants/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-platform-1-dark-1440.png; .playwright-mcp/ui-review/final-platform-1-dark-390.png; .playwright-mcp/ui-review/final-platform-1-light-1440.png; .playwright-mcp/ui-review/final-platform-1-light-390.png,tests/test_platform_tenant_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
platform:tenant-detail,/platform/tenants/<uuid:organization_id>/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-platform-3-dark-1440.png; .playwright-mcp/ui-review/final-platform-3-dark-390.png; .playwright-mcp/ui-review/final-platform-3-light-1440.png; .playwright-mcp/ui-review/final-platform-3-light-390.png,tests/test_platform_payments.py; tests/test_platform_tenant_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
platform:start-support,/platform/tenants/<uuid:organization_id>/support/,Ação/download/API,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/extended-regression.json,tests/test_company_registry_django.py; tests/test_platform_isolation.py; tests/test_platform_tenant_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
platform:end-support,/platform/support/encerrar/,Ação/download/API,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/extended-regression.json,,Referência em teste não equivale a inspeção visual nem homologação externa.
platform:asaas-webhook,/platform/webhooks/asaas/,Ação/download/API,Pendente de inspeção específica,,,Referência em teste não equivale a inspeção visual nem homologação externa.
intelligence:assistant,/app/ia/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-workspace-16-dark-1440.png; .playwright-mcp/ui-review/final-workspace-16-dark-390.png; .playwright-mcp/ui-review/final-workspace-16-light-1440.png; .playwright-mcp/ui-review/final-workspace-16-light-390.png,tests/test_intelligence.py; tests/test_intelligence_mcp_django.py; tests/test_intelligence_views_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
intelligence:export,/app/ia/relatorios/<uuid:message_id>/<str:export_format>/,Ação/download/API,Pendente de inspeção específica,,tests/test_intelligence_views_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
intelligence:feedback,/app/ia/feedback/<uuid:message_id>/,Ação/download/API,Pendente de inspeção específica,,tests/test_intelligence.py; tests/test_intelligence_views_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
intelligence:learning,/app/ia/aprendizado/,Tela/estado,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/access-regression.json,tests/test_intelligence_views_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
intelligence:review,/app/ia/aprendizado/<uuid:candidate_id>/<str:decision>/,Ação/download/API,Pendente de inspeção específica,,tests/test_intelligence_views_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
